,Data,Qt_almoco,Qt_jantar
244,2018-12-10,342,155
245,2018-12-11,414,227
246,2018-12-12,400,203
247,2018-12-13,307,155
248,2018-12-14,235,101
249,2018-12-17,122,0
250,2018-12-18,121,0
251,2018-12-19,141,0
252,2018-12-20,0,0
253,2018-12-21,0,0
254,2018-12-24,0,0
255,2018-12-25,0,0
256,2018-12-26,0,0
257,2018-12-27,0,0
258,2018-12-28,0,0
259,2018-12-31,0,0
260,2019-01-01,0,0
261,2019-01-02,0,0
262,2019-01-03,0,0
263,2019-01-04,0,0
264,2019-01-07,113,0
265,2019-01-08,111,0
266,2019-01-09,126,0
267,2019-01-10,111,0
268,2019-01-11,85,0
269,2019-01-14,117,0
270,2019-01-15,127,0
271,2019-01-16,157,0
272,2019-01-17,111,0
273,2019-01-18,114,0
274,2019-01-21,149,0
275,2019-01-22,156,0
276,2019-01-23,179,0
277,2019-01-24,188,0
278,2019-01-25,143,0
279,2019-01-28,215,0
280,2019-01-29,217,0
281,2019-01-30,190,0
282,2019-01-31,206,0
283,2019-02-01,189,0
284,2019-02-04,228,0
285,2019-02-05,205,0
286,2019-02-06,217,0
287,2019-02-07,209,0
288,2019-02-08,174,0
289,2019-02-11,219,0
290,2019-02-12,225,0
291,2019-02-13,246,0
292,2019-02-14,238,0
293,2019-02-15,215,0
294,2019-02-18,666,445
295,2019-02-19,837,559
296,2019-02-20,870,479
297,2019-02-21,874,481
298,2019-02-22,696,387
299,2019-02-25,812,558
300,2019-02-26,950,544
301,2019-02-27,873,522
302,2019-02-28,879,526
303,2019-03-01,542,295
304,2019-03-04,0,0
305,2019-03-05,0,0
306,2019-03-06,0,0
307,2019-03-07,603,426
308,2019-03-08,563,351
309,2019-03-11,789,516
310,2019-03-12,928,558
311,2019-03-13,870,558
312,2019-03-14,861,529
313,2019-03-15,699,402
314,2019-03-18,668,410
315,2019-03-19,0,0
316,2019-03-20,850,547
317,2019-03-21,876,510
318,2019-03-22,696,388
319,2019-03-25,0,0
320,2019-03-26,856,552
321,2019-03-27,822,543
322,2019-03-28,830,511
323,2019-03-29,687,341
324,2019-04-01,719,489
325,2019-04-02,808,512
326,2019-04-03,839,499
327,2019-04-04,791,511
328,2019-04-05,667,437
329,2019-04-08,703,500
330,2019-04-09,844,535
331,2019-04-10,811,547
332,2019-04-11,791,512
333,2019-04-12,568,0
334,2019-04-15,743,474
335,2019-04-16,865,541
336,2019-04-17,729,391
337,2019-04-18,0,0
338,2019-04-19,0,0
339,2019-04-22,660,487
340,2019-04-23,858,556
341,2019-04-24,812,504
342,2019-04-25,785,506
343,2019-04-26,672,408
344,2019-04-29,738,495
345,2019-04-30,874,485
346,2019-05-01,0,0
347,2019-05-02,805,546
348,2019-05-03,693,380
349,2019-05-06,780,536
350,2019-05-07,880,581
351,2019-05-08,971,546
352,2019-05-09,843,538
353,2019-05-10,655,379
354,2019-05-13,684,513
355,2019-05-14,873,583
356,2019-05-15,699,450
357,2019-05-16,818,600
358,2019-05-17,771,447
359,2019-05-20,775,546
360,2019-05-21,963,559
361,2019-05-22,876,598
362,2019-05-23,937,581
363,2019-05-24,708,397
364,2019-05-27,725,574
365,2019-05-28,954,653
366,2019-05-29,905,575
367,2019-05-30,919,557
368,2019-05-31,757,379
369,2019-06-03,725,557
370,2019-06-04,931,598
371,2019-06-05,939,591
372,2019-06-06,868,553
373,2019-06-07,715,398
374,2019-06-10,746,551
375,2019-06-11,944,565
376,2019-06-12,901,536
377,2019-06-13,832,486
378,2019-06-14,579,302
379,2019-06-17,746,548
380,2019-06-18,915,506
381,2019-06-19,803,448
382,2019-06-20,0,0
