Data,Qt_almoco,Qt_jantar
2018-06-05,821,527
2018-06-06,828,471
2018-06-07,811,461
2018-06-08,650,371
2018-06-11,715,460
2018-06-12,761,449
2018-06-13,787,403
2018-06-14,751,438
2018-06-15,639,374
2018-06-18,624,428
2018-06-19,774,447
2018-06-20,756,429
2018-06-21,741,355
2018-06-22,0,205
2018-06-25,529,382
2018-06-26,577,334
2018-06-27,374,0
2018-06-28,419,261
2018-06-29,356,163
2018-07-02,0,135
2018-07-03,276,148
2018-07-04,186,0
2018-07-05,0,0
2018-07-06,68,0
2018-07-09,115,0
2018-07-10,123,0
2018-07-11,125,0
2018-07-12,112,0
2018-07-13,94,0
2018-07-16,115,0
2018-07-17,119,0
2018-07-18,115,0
2018-07-19,91,0
2018-07-20,84,0
2018-07-23,94,0
2018-07-24,111,0
2018-07-25,118,0
2018-07-26,116,0
2018-07-27,122,0
2018-07-30,128,0
2018-07-31,160,0
2018-08-01,176,0
2018-08-02,162,0
2018-08-03,142,0
2018-08-06,732,486
2018-08-07,896,560
2018-08-08,877,530
2018-08-09,862,526
2018-08-10,604,340
2018-08-13,790,520
2018-08-14,876,553
2018-08-15,775,548
2018-08-16,799,555
2018-08-17,680,415
2018-08-20,778,567
2018-08-21,903,587
2018-08-22,862,584
2018-08-23,853,591
2018-08-24,640,359
2018-08-27,788,549
2018-08-28,898,561
2018-08-29,848,564
2018-08-30,845,550
2018-08-31,677,420
